test,period,psd
1_control_dl,42.0,14281401.304510627
1_control_dl,33.6,6479945.9220463745
1_control_dl,28.0,3474613.9160509524
1_control_dl,24.0,232351987.1084775
1_control_dl,21.0,54391399.26166793
1_control_dl,18.666666666666668,3543544.0057426747
1_control_dl,16.8,23246733.638930425
1_control_dl,15.272727272727275,11902393.52774166
1_control_dl,14.0,263183.9776597264
1_control_dl,12.923076923076923,1469840.3585549935
1_control_dl,12.0,6710517.662665319
1_control_dl,11.200000000000001,13593102.411125386
1_control_dl,10.5,615943.563951739
1_control_dl,9.882352941176471,2506582.059015353
1_control_dl,9.333333333333334,5530074.0172172785
1_control_dl,8.842105263157896,4516551.001086277
1_control_dl,8.4,1174131.553366176
1_control_dl,8.0,14650303.678553956
1_control_dl,7.636363636363638,1964518.7915128064
1_control_dl,7.304347826086957,382852.01765581145
1_control_dl,7.0,662726.3656258945
1_control_dl,6.72,441786.80098728073
1_control_dl,6.461538461538462,1214527.2066072777
1_control_dl,6.222222222222223,1224772.861647046
1_control_dl,6.0,1276458.0119047635
1_control_dl,5.793103448275862,394687.74017481785
1_control_dl,5.6000000000000005,122197.22332637495
1_control_dl,5.419354838709678,10710.747448115704
1_control_dl,5.25,543558.5770863116
1_control_dl,5.090909090909091,40793.15915966631
1_control_dl,4.9411764705882355,1052724.8740240352
1_control_dl,4.800000000000001,3367463.0273945285
1_control_dl,4.666666666666667,71875.10214393793
1_control_dl,4.54054054054054,282509.49907336995
1_control_dl,4.421052631578948,115001.84305722991
1_control_dl,4.307692307692308,148775.72034729773
1_control_dl,4.2,132897.33682026176
1_control_dl,4.097560975609756,187191.84838258682
1_control_dl,4.0,309121.18121693167
1_control_dl,3.906976744186047,200368.31345542573
1_control_dl,3.818181818181819,167939.04295307994
1_control_dl,3.7333333333333334,141378.72704844005
1_control_dl,3.6521739130434785,39249.79839949768
1_control_dl,3.574468085106383,160407.15770517825
1_control_dl,3.5,104144.40521490625
1_control_dl,3.428571428571429,365775.9937196404
1_control_dl,3.36,118274.00058412901
1_control_dl,3.294117647058824,79586.51810060863
1_control_dl,3.230769230769231,26835.533470587354
1_control_dl,3.169811320754717,84480.3902837864
1_control_dl,3.1111111111111116,77831.73843169832
1_control_dl,3.0545454545454547,68700.4905301451
1_control_dl,3.0,47205.10449735412
1_control_dl,2.947368421052632,43971.975193919454
1_control_dl,2.896551724137931,80595.28554473881
1_control_dl,2.8474576271186445,57928.903900054014
1_control_dl,2.8000000000000003,86049.13183654699
1_control_dl,2.7540983606557377,20468.46232067132
1_control_dl,2.709677419354839,76907.8157513221
1_control_dl,2.6666666666666665,47133.44578466735
1_control_dl,2.625,160919.90249731933
1_control_dl,2.5846153846153848,6274.868866383904
1_control_dl,2.5454545454545454,219940.62066590154
1_control_dl,2.5074626865671643,27185.346776191855
1_control_dl,2.4705882352941178,157544.44730064087
1_control_dl,2.4347826086956523,250716.8535354809
1_control_dl,2.4000000000000004,127137.04103838665
1_control_dl,2.3661971830985915,383939.95808948134
1_control_dl,2.3333333333333335,231806.37730734693
1_control_dl,2.301369863013699,162312.12177441607
1_control_dl,2.27027027027027,316179.4273203354
1_control_dl,2.24,139903.33769226953
1_control_dl,2.210526315789474,125394.7361237572
1_control_dl,2.181818181818182,356184.07146658073
1_control_dl,2.153846153846154,156484.59012789588
