test,period,psd
1_control_dl,42.0,21743464.963258613
1_control_dl,33.6,5143283.866451797
1_control_dl,28.0,35000145.46515124
1_control_dl,24.0,144163479.49644008
1_control_dl,21.0,72140608.09913644
1_control_dl,18.666666666666668,2742571.3576950673
1_control_dl,16.8,32537479.48705382
1_control_dl,15.272727272727275,24886677.950981427
1_control_dl,14.0,2647706.1761978236
1_control_dl,12.923076923076923,3733442.05677131
1_control_dl,12.0,13780380.85272651
1_control_dl,11.200000000000001,12640504.667893743
1_control_dl,10.5,342425.24564101803
1_control_dl,9.882352941176471,2826691.3228828553
1_control_dl,9.333333333333334,8218400.546975604
1_control_dl,8.842105263157896,5287821.561934662
1_control_dl,8.4,5224813.232455823
1_control_dl,8.0,8665362.073680172
1_control_dl,7.636363636363638,2451291.0775806117
1_control_dl,7.304347826086957,562183.2467957891
1_control_dl,7.0,809711.7354195514
1_control_dl,6.72,843704.7607570038
1_control_dl,6.461538461538462,1678041.0195432694
1_control_dl,6.222222222222223,1351584.8917698767
1_control_dl,6.0,962069.7745064262
1_control_dl,5.793103448275862,363170.7976998829
1_control_dl,5.6000000000000005,211679.7046532661
1_control_dl,5.419354838709678,14300.995288631779
1_control_dl,5.25,391527.70450135256
1_control_dl,5.090909090909091,210794.38881375451
1_control_dl,4.9411764705882355,262541.5142483564
1_control_dl,4.800000000000001,1389443.1873610911
1_control_dl,4.666666666666667,889462.201255105
1_control_dl,4.54054054054054,140190.6152130265
1_control_dl,4.421052631578948,87429.04020669988
1_control_dl,4.307692307692308,341509.2645896614
1_control_dl,4.2,180936.64878057977
1_control_dl,4.097560975609756,84207.19022435378
1_control_dl,4.0,25595.298998914775
1_control_dl,3.906976744186047,20303.823218982674
1_control_dl,3.818181818181819,15943.69055836537
1_control_dl,3.7333333333333334,43614.504380304985
1_control_dl,3.6521739130434785,155770.48158194846
1_control_dl,3.574468085106383,77920.82635995066
1_control_dl,3.5,75797.41706279799
1_control_dl,3.428571428571429,74287.33616585548
1_control_dl,3.36,6478.124670274487
1_control_dl,3.294117647058824,9916.118956298695
1_control_dl,3.230769230769231,13505.287785979775
1_control_dl,3.169811320754717,3356.0807675386914
1_control_dl,3.1111111111111116,672.6985238196493
1_control_dl,3.0545454545454547,229.89422698894396
1_control_dl,3.0,268.22329294095107
1_control_dl,2.947368421052632,1236.42237626726
1_control_dl,2.896551724137931,4693.737446776401
1_control_dl,2.8474576271186445,1167.2523544484625
1_control_dl,2.8000000000000003,7658.3960427418315
1_control_dl,2.7540983606557377,11340.744434701357
1_control_dl,2.709677419354839,45253.64082925367
1_control_dl,2.6666666666666665,107998.07018429169
1_control_dl,2.625,123848.64162455723
1_control_dl,2.5846153846153848,85600.02807461463
1_control_dl,2.5454545454545454,99530.370707301
1_control_dl,2.5074626865671643,49715.6033468739
1_control_dl,2.4705882352941178,6632.102112670377
1_control_dl,2.4347826086956523,44818.54986144629
1_control_dl,2.4000000000000004,110126.39427125473
1_control_dl,2.3661971830985915,173357.56798717834
1_control_dl,2.3333333333333335,160210.4549470051
1_control_dl,2.301369863013699,6342.369303340772
1_control_dl,2.27027027027027,32333.911570777702
1_control_dl,2.24,2709.246769746396
1_control_dl,2.210526315789474,151851.49753614454
1_control_dl,2.181818181818182,616168.1170302248
1_control_dl,2.153846153846154,413170.96572062164
1_control_dl,2.126582278481013,288103.74571204354
1_control_dl,2.1,89052.00946179473
1_control_dl,2.0740740740740744,1583.2846129297004
1_control_dl,2.048780487804878,32733.829591877686
1_control_dl,2.024096385542169,81190.64145660782
1_control_dl,2.0,100302.42584000554
2_control_dd,46.4,1062956.1102112911
2_control_dd,43.5,4601538.721513568
2_control_dd,40.94117647058824,2166632.4402323896
2_control_dd,38.666666666666664,1518315.816677462
2_control_dd,36.63157894736842,2515077.1603415343
2_control_dd,34.8,3624822.038716316
2_control_dd,33.142857142857146,1249911.5786773835
2_control_dd,31.636363636363633,775444.8687903627
2_control_dd,30.26086956521739,766306.5546208537
2_control_dd,29.0,323505.9947852955
2_control_dd,27.840000000000003,795906.59934445
2_control_dd,26.769230769230774,563509.0464154488
2_control_dd,25.77777777777778,588366.2872411421
2_control_dd,24.857142857142858,7705102.359807264
2_control_dd,24.0,19399412.867050715
2_control_dd,23.2,7218229.161209837
2_control_dd,22.451612903225804,872262.392118886
2_control_dd,21.75,1425584.5208007281
2_control_dd,21.090909090909093,4654184.081528033
2_control_dd,20.47058823529412,3649119.6099898038
2_control_dd,19.885714285714286,380989.5279593406
2_control_dd,19.333333333333332,1574268.1779892973
2_control_dd,18.81081081081081,1319785.7873815058
2_control_dd,18.31578947368421,1756427.6978509016
2_control_dd,17.846153846153847,297328.3143564639
2_control_dd,17.4,1399787.695698329
2_control_dd,16.975609756097562,2347233.769569004
2_control_dd,16.571428571428573,1874773.345841776
2_control_dd,16.186046511627907,702904.5576285284
2_control_dd,15.818181818181817,1877020.055525748
2_control_dd,15.466666666666665,3575675.34497071
2_control_dd,15.130434782608695,1496353.4655721583
2_control_dd,14.808510638297872,801290.6134346613
2_control_dd,14.5,2975221.006928675
2_control_dd,14.204081632653061,2368822.2051668395
2_control_dd,13.920000000000002,90427.06370477812
2_control_dd,13.647058823529413,343010.88085472095
2_control_dd,13.384615384615387,182510.16752098806
2_control_dd,13.132075471698112,6839.387356522901
2_control_dd,12.88888888888889,122593.86299872334
2_control_dd,12.654545454545454,320227.73551009485
2_control_dd,12.428571428571429,631088.6562500349
2_control_dd,12.210526315789474,19559.636071436715
2_control_dd,12.0,5841767.385618319
2_control_dd,11.796610169491526,6103103.805058656
2_control_dd,11.6,15782.498072820414
2_control_dd,11.40983606557377,915106.8422753767
2_control_dd,11.225806451612902,628025.0368541785
2_control_dd,11.047619047619047,642496.9763347773
2_control_dd,10.875,279845.9379440956
2_control_dd,10.707692307692309,45245.69797573098
2_control_dd,10.545454545454547,29529.291700939793
2_control_dd,10.388059701492539,348520.4166728898
2_control_dd,10.23529411764706,343949.019671484
2_control_dd,10.08695652173913,227915.8162480866
2_control_dd,9.942857142857143,597350.4843019387
2_control_dd,9.80281690140845,871537.6506952943
2_control_dd,9.666666666666666,656304.1321287684
2_control_dd,9.534246575342467,828992.2066645963
2_control_dd,9.405405405405405,755534.1625014426
2_control_dd,9.280000000000001,354276.30025587673
2_control_dd,9.157894736842104,125866.73433401244
2_control_dd,9.03896103896104,87841.63411994757
2_control_dd,8.923076923076923,146632.1821776828
2_control_dd,8.810126582278482,259903.40420568062
2_control_dd,8.7,39322.48309824742
2_control_dd,8.592592592592593,429514.24024878826
2_control_dd,8.487804878048781,253727.2603613539
2_control_dd,8.3855421686747,96169.30415691333
2_control_dd,8.285714285714286,364546.7454277422
2_control_dd,8.188235294117646,50371.04745680401
2_control_dd,8.093023255813954,284873.41978053935
2_control_dd,8.0,2524274.5955902976
2_control_dd,7.909090909090908,2878379.033955528
2_control_dd,7.820224719101124,249633.0480716705
2_control_dd,7.7333333333333325,101784.606808994
2_control_dd,7.648351648351649,163906.7300835611
2_control_dd,7.565217391304348,179161.59729112554
2_control_dd,7.483870967741936,128183.55674931958
2_control_dd,7.404255319148936,155361.87638654016
2_control_dd,7.326315789473685,83618.21497195987
2_control_dd,7.25,288722.7163394578
2_control_dd,7.175257731958762,56267.69150231932
2_control_dd,7.1020408163265305,178534.98079966597
2_control_dd,7.03030303030303,72166.0941552166
2_control_dd,6.960000000000001,67661.26295811572
2_control_dd,6.891089108910891,65715.67510643972
2_control_dd,6.8235294117647065,24193.293692988052
2_control_dd,6.757281553398058,3572.5626852683595
2_control_dd,6.692307692307693,177782.2007752795
2_control_dd,6.628571428571429,139344.29094307031
2_control_dd,6.566037735849056,87589.45760476227
2_control_dd,6.504672897196262,99581.1701653945
2_control_dd,6.444444444444445,109133.5024547574
2_control_dd,6.385321100917432,18466.55378349118
2_control_dd,6.327272727272727,282375.9966478442
2_control_dd,6.270270270270271,285813.5166761383
2_control_dd,6.214285714285714,14080.9421467897
2_control_dd,6.15929203539823,160404.48178636367
2_control_dd,6.105263157894737,55163.6644852621
2_control_dd,6.052173913043478,69697.25137340574
2_control_dd,6.0,571524.7850903587
2_control_dd,5.948717948717949,1326351.5001672104
2_control_dd,5.898305084745763,18375.61755270073
2_control_dd,5.848739495798319,1769.3603225404684
2_control_dd,5.8,424096.90341343253
2_control_dd,5.75206611570248,377030.15621229104
2_control_dd,5.704918032786885,143097.79191260663
2_control_dd,5.658536585365854,228906.56285415377
2_control_dd,5.612903225806451,130050.63278173195
2_control_dd,5.5680000000000005,201393.11017096476
2_control_dd,5.523809523809524,189384.6735860473
2_control_dd,5.480314960629921,29875.796914944596
2_control_dd,5.4375,75608.73568534023
2_control_dd,5.395348837209302,287366.2025362789
2_control_dd,5.353846153846154,326061.55804504047
2_control_dd,5.312977099236641,314627.7148262201
2_control_dd,5.272727272727273,98652.14418395926
2_control_dd,5.2330827067669174,135519.27804111934
2_control_dd,5.194029850746269,44699.241296850836
2_control_dd,5.155555555555556,28829.72638613945
2_control_dd,5.11764705882353,38899.200410553225
2_control_dd,5.08029197080292,50348.473845816174
2_control_dd,5.043478260869565,32473.719188929837
2_control_dd,5.0071942446043165,149289.32573080636
2_control_dd,4.9714285714285715,80826.46983863226
2_control_dd,4.9361702127659575,173335.4710548418
2_control_dd,4.901408450704225,242078.22105582964
2_control_dd,4.8671328671328675,223365.69842036706
