Probeset_ID,Symbol,Time,Values,LombScargle_P,LombScargle_Q,LombScargle_period,LombScargle_phase,Tissue
10522467,Rasl11b,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,116.5;117.3;146.4;215.8;205.6;223.5;191.9;214.4;143.4;141.4;121.4;99.3;110.2;125.7;158.0;220.4;223.5;241.2;278.9;218.9;150.5;127.5;107.9;95.9,0.000837,1.0,23.892,3.75,scn_2014
10553092,Dbp,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,197.2;239.5;231.3;249.7;280.9;311.7;318.2;341.1;343.4;318.2;267.6;201.4;198.6;197.2;214.4;286.8;286.8;324.9;400.0;402.8;343.4;343.4;278.9;200.0,0.000988,1.0,23.892,7.03,scn_2014
10356601,Per2,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,144.4;145.4;149.5;143.4;165.9;197.2;215.8;271.3;232.9;247.9;218.9;172.9;150.5;156.9;143.4;155.8;160.2;207.1;237.8;239.5;249.7;309.5;218.9;171.7,0.00115,1.0,23.892,9.81,scn_2014
10350733,Rgs16,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,434.7;857.4;881.5;1187.6;1041.1;1336.1;1221.0;1364.2;721.0;696.4;606.3;472.4;546.4;658.9;1077.8;1412.3;1139.2;1326.9;1432.0;1221.0;762.1;772.7;636.4;408.4,0.0013,1.0,23.892,3.7,scn_2014
10449741,Sik1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,184.0;201.4;214.4;278.9;294.9;269.4;273.2;320.4;229.7;214.4;205.6;154.8;205.6;208.5;223.5;292.8;318.2;278.9;324.9;265.7;229.7;226.6;182.8;184.0,0.00148,1.0,23.064,3.77,scn_2014
10390691,Nr1d1,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,557.9;736.2;721.0;1062.9;845.6;1139.2;978.1;991.8;828.2;623.3;623.3;400.0;593.8;834.0;971.4;1123.6;1163.2;1187.6;1373.7;1131.4;845.6;736.2;546.4;538.9,0.00183,1.0,23.892,3.73,scn_2014
10520379,Rbm33,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,301.0;301.0;318.2;334.0;368.1;350.6;355.5;318.2;294.9;277.0;263.9;253.2;294.9;311.7;320.4;355.5;353.1;343.4;365.5;316.0;320.4;313.8;267.6;307.4,0.002,1.0,24.783,3.85,scn_2014
10405576,Fbxl21,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,182.8;209.9;228.2;251.4;262.1;284.8;348.2;394.5;263.9;286.8;246.2;104.2;181.5;212.9;205.6;223.5;286.8;327.2;360.5;322.7;327.2;290.8;220.4;155.8,0.00217,1.0,23.892,5.78,scn_2014
10366572,Il22,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,105.0;88.3;80.1;69.7;46.3;49.0;44.8;45.7;45.1;54.3;72.2;68.8;77.9;97.9;73.2;84.1;49.7;36.6;43.2;43.2;43.2;61.1;80.1;61.6,0.00242,1.0,24.783,19.0,scn_2014
10462618,Ifit3,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,736.2;469.1;472.4;405.6;292.8;267.6;443.8;443.8;520.5;783.5;925.4;585.6;636.4;446.9;428.7;343.4;228.2;389.1;400.0;513.4;627.7;900.0;565.7;640.9,0.00264,1.0,23.064,15.27,scn_2014
10363224,Fabp7,18;20;22;24;26;28;30;32;34;36;38;40;42;44;46;48;50;52;54;56;58;60;62;64,1850.7;2125.9;2200.9;2844.3;2844.3;2493.3;3335.9;2476.1;2053.5;1691.2;1691.2;1179.4;1524.2;1524.2;2262.7;2262.7;2599.2;2581.3;2326.4;2278.5;1763.0;1889.6;1422.1;1432.0,0.00266,1.0,23.892,3.72,scn_2014
