test,period,psd
1_control_dl,42.0,3850110.7327109054
1_control_dl,33.6,1524191.4091552824
1_control_dl,28.0,1248602.4590925735
1_control_dl,24.0,8223398.452580174
1_control_dl,21.0,226185.25479709142
1_control_dl,18.666666666666668,147935.67054739315
1_control_dl,16.8,768765.1313895206
1_control_dl,15.272727272727275,2070407.8533049696
1_control_dl,14.0,129667.47699887003
1_control_dl,12.923076923076923,206017.53318055236
1_control_dl,12.0,4611213.464538396
1_control_dl,11.200000000000001,754154.4652384538
1_control_dl,10.5,35779.20074261882
1_control_dl,9.882352941176471,271512.23253614065
1_control_dl,9.333333333333334,138119.2929346195
1_control_dl,8.842105263157896,95113.24895691227
1_control_dl,8.4,27463.909858186496
1_control_dl,8.0,2708590.0738029163
1_control_dl,7.636363636363638,233350.30434988314
1_control_dl,7.304347826086957,125753.84405387807
1_control_dl,7.0,208554.94665815955
1_control_dl,6.72,502593.64839723794
1_control_dl,6.461538461538462,145759.4945721866
1_control_dl,6.222222222222223,138673.21841006575
1_control_dl,6.0,1913542.1521164014
1_control_dl,5.793103448275862,154825.66220215464
1_control_dl,5.6000000000000005,433598.1271939339
1_control_dl,5.419354838709678,193434.97363111516
1_control_dl,5.25,86691.64267464748
1_control_dl,5.090909090909091,81590.31862489048
1_control_dl,4.9411764705882355,188015.22653097
1_control_dl,4.800000000000001,183419.69186459391
1_control_dl,4.666666666666667,11267.090899798599
1_control_dl,4.54054054054054,243635.88473250755
1_control_dl,4.421052631578948,48441.99395321822
1_control_dl,4.307692307692308,54172.34931876521
1_control_dl,4.2,27228.57055229392
1_control_dl,4.097560975609756,13574.73641666323
1_control_dl,4.0,116767.94973544958
1_control_dl,3.906976744186047,36935.09269736642
1_control_dl,3.818181818181819,85926.41827648802
1_control_dl,3.7333333333333334,12842.647972157685
1_control_dl,3.6521739130434785,2766.125661944189
1_control_dl,3.574468085106383,27251.121677663286
1_control_dl,3.5,17031.632378185193
1_control_dl,3.428571428571429,12874.596670788334
1_control_dl,3.36,6663.512216216668
1_control_dl,3.294117647058824,2287.781898513755
1_control_dl,3.230769230769231,1197.8768446877345
1_control_dl,3.169811320754717,1126.6823985558433
1_control_dl,3.1111111111111116,969.8194347690528
1_control_dl,3.0545454545454547,225.5740306539665
1_control_dl,3.0,302.14682539682855
1_control_dl,2.947368421052632,230.67738789062304
1_control_dl,2.896551724137931,295.3842320177986
1_control_dl,2.8474576271186445,141.10213447553113
1_control_dl,2.8000000000000003,2368.809085458313
1_control_dl,2.7540983606557377,913.8695024366458
1_control_dl,2.709677419354839,3139.393137263226
1_control_dl,2.6666666666666665,1382.238366395942
1_control_dl,2.625,380.0811184826735
1_control_dl,2.5846153846153848,11201.535093388664
1_control_dl,2.5454545454545454,3766.41793377282
1_control_dl,2.5074626865671643,3860.488149062433
1_control_dl,2.4705882352941178,1501.7198395773278
