test,period,psd
1_control_dl,42.0,4973800.3044402655
1_control_dl,33.6,1577578.8187383416
1_control_dl,28.0,2457741.573681591
1_control_dl,24.0,7547895.785804045
1_control_dl,21.0,2897586.650374938
1_control_dl,18.666666666666668,133767.64766211732
1_control_dl,16.8,1320869.6767492772
1_control_dl,15.272727272727275,2005111.7727128835
1_control_dl,14.0,164125.02106947024
1_control_dl,12.923076923076923,542507.6132514484
1_control_dl,12.0,1868034.809941515
1_control_dl,11.200000000000001,16481.881850531565
1_control_dl,10.5,256681.0275640236
1_control_dl,9.882352941176471,217836.62548116216
1_control_dl,9.333333333333334,342059.5599541851
1_control_dl,8.842105263157896,172964.09474046997
1_control_dl,8.4,731112.1420706222
1_control_dl,8.0,1471215.9931791176
1_control_dl,7.636363636363638,95687.30707
1_control_dl,7.304347826086957,289885.1841292512
1_control_dl,7.0,32735.65008013419
1_control_dl,6.72,150819.3402454991
1_control_dl,6.461538461538462,55542.0004515963
1_control_dl,6.222222222222223,588476.5356134559
1_control_dl,6.0,1262342.7028149667
1_control_dl,5.793103448275862,300690.3132814289
1_control_dl,5.6000000000000005,151442.3003527888
1_control_dl,5.419354838709678,82828.23206687615
1_control_dl,5.25,18513.961841411285
1_control_dl,5.090909090909091,5762.524796393382
1_control_dl,4.9411764705882355,173919.87519162614
1_control_dl,4.800000000000001,181030.8735066742
1_control_dl,4.666666666666667,110456.75364606368
1_control_dl,4.54054054054054,163008.47551164398
1_control_dl,4.421052631578948,138506.99873392677
1_control_dl,4.307692307692308,46670.63531270721
1_control_dl,4.2,9738.349824757062
1_control_dl,4.097560975609756,6168.766154544409
1_control_dl,4.0,64913.720802182215
1_control_dl,3.906976744186047,4261.807770487769
1_control_dl,3.818181818181819,51216.645558271615
1_control_dl,3.7333333333333334,31525.70923922604
1_control_dl,3.6521739130434785,3628.3538292440967
1_control_dl,3.574468085106383,6596.345424255
1_control_dl,3.5,6574.686181267459
1_control_dl,3.428571428571429,7007.036423703354
1_control_dl,3.36,8.66922181682117
1_control_dl,3.294117647058824,442.3630026778892
1_control_dl,3.230769230769231,334.5190833953147
1_control_dl,3.169811320754717,31.8575744056898
1_control_dl,3.1111111111111116,143.62248940478185
1_control_dl,3.0545454545454547,61.065395983425034
1_control_dl,3.0,32.9833205777596
1_control_dl,2.947368421052632,42.93872703570392
1_control_dl,2.896551724137931,50.18544725420059
1_control_dl,2.8474576271186445,109.92276205390995
1_control_dl,2.8000000000000003,1376.700767922933
1_control_dl,2.7540983606557377,359.7696977701358
1_control_dl,2.709677419354839,3096.881729268112
1_control_dl,2.6666666666666665,2491.6843237235603
1_control_dl,2.625,4505.640440368107
1_control_dl,2.5846153846153848,14251.345782864122
1_control_dl,2.5454545454545454,14055.547915197392
1_control_dl,2.5074626865671643,5786.2026545058825
1_control_dl,2.4705882352941178,4474.439334490503
1_control_dl,2.4347826086956523,10050.101962015608
1_control_dl,2.4000000000000004,5875.731155647675
1_control_dl,2.3661971830985915,8067.315286152683
1_control_dl,2.3333333333333335,873.3299908808365
